{0 mrtmp.srt-0-1 3445963 1589311066440990557 1589311066448598863}
{0 mrtmp.srt-0-0 3333837 1589311066471938636 1589311066476941461}
{10 mrtmp.srt-10-1 3443519 1589311070227899497 1589311070234261295}
{10 mrtmp.srt-10-0 3335455 1589311070255519943 1589311070260318714}
{11 mrtmp.srt-11-0 3342895 1589311070727656145 1589311070732845260}
{11 mrtmp.srt-11-1 3435891 1589311070754906164 1589311070762082876}
{12 mrtmp.srt-12-0 3334345 1589311070996709950 1589311071002180093}
{12 mrtmp.srt-12-1 3444311 1589311071025725548 1589311071031999453}
{13 mrtmp.srt-13-1 3433079 1589311071279532103 1589311071286033162}
{13 mrtmp.srt-13-0 3346861 1589311071310706389 1589311071315333134}
{14 mrtmp.srt-14-1 3425363 1589311071530732261 1589311071537459777}
{14 mrtmp.srt-14-0 3354863 1589311071561604752 1589311071566201524}
{15 mrtmp.srt-15-0 3356777 1589311072044583914 1589311072049805006}
{15 mrtmp.srt-15-1 3422049 1589311072071452026 1589311072079376631}
{16 mrtmp.srt-16-1 3421815 1589311072225965862 1589311072232949376}
{16 mrtmp.srt-16-0 3356671 1589311072257257757 1589311072262484673}
{17 mrtmp.srt-17-0 3339499 1589311072523400121 1589311072529772367}
{17 mrtmp.srt-17-1 3440679 1589311072551520381 1589311072558008492}
{18 mrtmp.srt-18-1 3419995 1589311073007190295 1589311073012163391}
{18 mrtmp.srt-18-0 3360421 1589311073034607643 1589311073039395890}
{19 mrtmp.srt-19-1 3423697 1589311073189342841 1589311073196069727}
{19 mrtmp.srt-19-0 3355069 1589311073218497136 1589311073223843180}
{1 mrtmp.srt-1-1 3411547 1589311067085671437 1589311067092416241}
{1 mrtmp.srt-1-0 3367877 1589311067115056784 1589311067120132922}
{2 mrtmp.srt-2-0 3357953 1589311067395583120 1589311067402412316}
{2 mrtmp.srt-2-1 3420575 1589311067428942000 1589311067436996210}
{3 mrtmp.srt-3-0 3361725 1589311067580910845 1589311067587332896}
{3 mrtmp.srt-3-1 3418197 1589311067615487839 1589311067623623133}
{4 mrtmp.srt-4-1 3403403 1589311067969374269 1589311067975839976}
{4 mrtmp.srt-4-0 3375893 1589311068002110515 1589311068006711448}
{5 mrtmp.srt-5-0 3358479 1589311068274385320 1589311068279785727}
{5 mrtmp.srt-5-1 3420491 1589311068304675729 1589311068312592760}
{6 mrtmp.srt-6-0 3344305 1589311068762438483 1589311068767339059}
{6 mrtmp.srt-6-1 3434115 1589311068792588942 1589311068797461724}
{7 mrtmp.srt-7-1 3448995 1589311069149895943 1589311069154999554}
{7 mrtmp.srt-7-0 3332089 1589311069176250331 1589311069181121921}
{8 mrtmp.srt-8-1 3427219 1589311069322214560 1589311069329236404}
{8 mrtmp.srt-8-0 3351451 1589311069354986115 1589311069359654811}
{9 mrtmp.srt-9-0 3333031 1589311069914347845 1589311069919656925}
{9 mrtmp.srt-9-1 3446907 1589311069942621556 1589311069948828365}
